date_time,day,home_team,away_team,stadium
22/04/2006 19:40,Saturday,Fremantle,Adelaide,Subiaco
23/04/2006 13:10,Sunday,North Melbourne,West Coast,Manuka
23/04/2006 13:10,Sunday,Sydney,Melbourne,SCG
24/04/2006 19:40,Monday,Port Adelaide,St Kilda,Footy Park
25/04/2006 14:40,Tuesday,Collingwood,Essendon,MCG
28/04/2006 19:40,Friday,Richmond,Carlton,MCG
29/04/2006 14:10,Saturday,Melbourne,North Melbourne,MCG
29/04/2006 15:10,Saturday,Adelaide,Western Bulldogs,Footy Park
29/04/2006 19:10,Saturday,Sydney,Geelong,Homebush
29/04/2006 19:40,Saturday,West Coast,Brisbane Lions,Subiaco
30/04/2006 13:10,Sunday,St Kilda,Fremantle,Launceston
30/04/2006 14:10,Sunday,Collingwood,Port Adelaide,Docklands
30/04/2006 14:10,Sunday,Hawthorn,Essendon,MCG
5/05/2006 19:40,Friday,Melbourne,Geelong,MCG
6/05/2006 14:10,Saturday,St Kilda,Western Bulldogs,Docklands
6/05/2006 16:10,Saturday,Fremantle,West Coast,Subiaco
6/05/2006 19:40,Saturday,Essendon,Richmond,MCG
6/05/2006 19:40,Saturday,Adelaide,Port Adelaide,Footy Park
