Stadium,BOM_station_number,Year,Month,Day,Rainfall_amount
Adelaide Oval,23011,2005,5,5,0
Adelaide Oval,23011,2005,5,6,0
Adelaide Oval,23011,2005,5,7,0
Adelaide Oval,23011,2005,5,8,0
Adelaide Oval,23011,2005,5,9,0
Adelaide Oval,23011,2005,5,10,0
Adelaide Oval,23011,2005,5,11,0
Adelaide Oval,23011,2005,5,12,0
Adelaide Oval,23011,2005,5,13,0
Adelaide Oval,23011,2005,5,14,0
Adelaide Oval,23011,2005,5,15,1.2
Adelaide Oval,23011,2005,5,16,0
Adelaide Oval,23011,2005,5,17,0
Adelaide Oval,23011,2005,5,18,0
Adelaide Oval,23011,2005,5,19,0
Adelaide Oval,23011,2005,5,20,0
Adelaide Oval,23011,2005,5,21,0
Adelaide Oval,23011,2005,5,22,0
Adelaide Oval,23011,2005,5,23,0.6
Adelaide Oval,23011,2005,5,24,0.8
Adelaide Oval,23011,2005,5,25,0
Adelaide Oval,23011,2005,5,26,0
Adelaide Oval,23011,2005,5,27,2.6
Adelaide Oval,23011,2005,5,28,0.2
Adelaide Oval,23011,2005,5,29,0
Adelaide Oval,23011,2005,5,30,0
Adelaide Oval,23011,2005,5,31,0
Adelaide Oval,23011,2005,6,1,0
Adelaide Oval,23011,2005,6,2,0
Adelaide Oval,23011,2005,6,3,0
Adelaide Oval,23011,2005,6,4,0
Adelaide Oval,23011,2005,6,5,0
Adelaide Oval,23011,2005,6,6,0
Adelaide Oval,23011,2005,6,7,0
Adelaide Oval,23011,2005,6,8,0
Adelaide Oval,23011,2005,6,9,1.4
Adelaide Oval,23011,2005,6,10,15.6
Adelaide Oval,23011,2005,6,11,16.8
Adelaide Oval,23011,2005,6,12,0
Adelaide Oval,23011,2005,6,13,0
Adelaide Oval,23011,2005,6,14,0
Adelaide Oval,23011,2005,6,15,10.6
Adelaide Oval,23011,2005,6,16,6
Adelaide Oval,23011,2005,6,17,0.4
Adelaide Oval,23011,2005,6,18,0
Adelaide Oval,23011,2005,6,19,8
Adelaide Oval,23011,2005,6,20,3
Adelaide Oval,23011,2005,6,21,46
Adelaide Oval,23011,2005,6,22,14.6
Adelaide Oval,23011,2005,6,23,0.8
Adelaide Oval,23011,2005,6,24,0.4
Adelaide Oval,23011,2005,6,25,0
Adelaide Oval,23011,2005,6,26,0
Adelaide Oval,23011,2005,6,27,0.2
Adelaide Oval,23011,2005,6,28,0
Adelaide Oval,23011,2005,6,29,0
Adelaide Oval,23011,2005,6,30,0
Adelaide Oval,23011,2005,7,1,0
Adelaide Oval,23011,2005,7,2,4
Adelaide Oval,23011,2005,7,3,
Adelaide Oval,23011,2005,7,4,1.6
Adelaide Oval,23011,2005,7,5,0
Adelaide Oval,23011,2005,7,6,0
Adelaide Oval,23011,2005,7,7,1.2
Adelaide Oval,23011,2005,7,8,0
Adelaide Oval,23011,2005,7,9,
Adelaide Oval,23011,2005,7,10,
Adelaide Oval,23011,2005,7,11,
Adelaide Oval,23011,2005,7,12,5.8
Adelaide Oval,23011,2005,7,13,5.8
Adelaide Oval,23011,2005,7,14,5.8
Adelaide Oval,23011,2005,7,15,5
Adelaide Oval,23011,2005,7,16,2.8
Adelaide Oval,23011,2005,7,17,
Adelaide Oval,23011,2005,7,18,1.4
Adelaide Oval,23011,2005,7,19,0
Adelaide Oval,23011,2005,7,20,0
Adelaide Oval,23011,2005,7,21,0
Adelaide Oval,23011,2005,7,22,0
Adelaide Oval,23011,2005,7,23,0
Adelaide Oval,23011,2005,7,24,1.2
Adelaide Oval,23011,2005,7,25,1
Adelaide Oval,23011,2005,7,26,1.6
Adelaide Oval,23011,2005,7,27,3
Adelaide Oval,23011,2005,7,28,0.6
Adelaide Oval,23011,2005,7,29,0
Adelaide Oval,23011,2005,7,30,0
Adelaide Oval,23011,2005,7,31,0
Adelaide Oval,23011,2005,8,1,0
Adelaide Oval,23011,2005,8,2,0
Adelaide Oval,23011,2005,8,3,0
Adelaide Oval,23011,2005,8,4,5
Adelaide Oval,23011,2005,8,5,0
Adelaide Oval,23011,2005,8,6,0
Adelaide Oval,23011,2005,8,7,0
